<first name>	<last name>	<UO ID>	<email address>	<phonetic spelling> <reveal code>
Izzie	Ramirez	950836645	<iramirez@uoregon.edu>	Izee Rameerez	
Lexie	East	951727302	<least@uoregon.edu>	Lecksee Eest	X
Tiana	Mustafa	951311702	<tmustafa@uoregon.edu>	Teeahnah Mustahfah	
Ivo	Holloway	951576511	<iholloway@uoregon.edu>	Eevo Hohlohway	
Thalia	Barlow	951720296	<tbarlow@uoregon.edu>	Thahliah Bahrloh	
Firat	Brookes	950794995	<fbrookes@uoregon.edu>	Fihraht Bruhcks	
Floyd	Mac	950868293	<fmac@uoregon.edu>	Floyd Mack	
Fiza	Chavez	951614676	<fchavez@uoregon.edu>	Feeza Shahvehz	
Reid	Stephens	951290981	<rstephens@uoregon.edu>	Reed Steevenz	X	
Lennox	Greenaway	950790258	<lgreenway@uoregon.edu>	Leenocks Greenahway	
Meg	Welch	950517794	<mwelch@uoregon.edu>	Mehg Wehlch	
Giuseppe	Sims	950089790	<gsims@uoregon.edu>	Jusepee Sihms	
Patrick	Charlton	951098431	<pcharlton@uoregon.edu>	Patrik Charlton	X
Brooke	Lam	950062902	<blam@uoregon.edu>	Brook Lam	
Antonia	Grant	951090328	<agrant@uoregon.edu>	Antonya Grant	X
Jermaine	Pratt	950976615	<jpratt@uoregon.edu>	Jermayne Praht	
Kaylem	Williams	951805749	<kwilliams@uoregon.edu>	Kaylem Williahms	
Ellie-Rose	Pace	951270262	<epace@uoregon.edu>	Ellee-Rohs Payce	
Eamon	Browne	950668466	<ebrowne@uoregon.edu>	Eemohn Brown	
Rex	Taylor	950298707	<rtaylor@uoregon.edu>	Recks Taylohr	X
Kaja	Reyes	951819511	<kreyes@uoregon.edu>	Kajha Rayes	
Gia	Swanson	951849529	<gswanson@uoregon.edu>	Jeea Swahnson	
Evelyn	Velazquez	951342579	<evalazquez@uoregon.edu>	Ehvalin Velahzquehz	
Kunal	Drummond	950231787	<kdrummond@uoregon.edu>	Koonahl Druhmand	X
Keenan	Rayner	951085707	<krayner@uoregon.edu>	Keenan Raynor	
Abiha	Hoover	950888802	<ahoover@uoregon.edu>	Abeeha Hoover	
Davina	Mcdermott	950249138	<dmcdermott@uoregon.edu>	Dahveenah Micdermot	
Kady	Ramsay	951632464	<kramsay@uoregon.edu>	Kaydee Ramsee	
Ishika	Rosa	950458267	<irosa@uoregon.edu>	Eesheeka Rosah	
Kirby	Alford	950357113	<kalford@uoregon.edu>	Kurbee Ahlford	X
Albi	Brennan	951735634	<abrennan@uoregon.edu>	Albee Brehnan	X
